,origin,predict
2016/8/31,3085.4909670000006,3083.950610127172
2016/9/1,3063.304932,3087.0700090220716
2016/9/2,3067.3520510000008,3086.723728793326
2016/9/5,3072.0949710000004,3086.9794643885825
2016/9/6,3090.712891,3087.842061005622
2016/9/7,3091.927979,3090.9787209176093
2016/9/8,3095.9541020000006,3093.6747706565957
2016/9/9,3078.85498,3096.393532260169
2016/9/12,3021.9770510000003,3096.405191017325
2016/9/13,3023.51001,3088.931019206385
2016/9/14,3002.849121,3083.0223005152584
2016/9/19,3026.051025,3075.3876315278994
2016/9/20,3023.0,3071.9328540992547
2016/9/21,3025.874023,3068.333629211832
2016/9/22,3042.3129879999997,3065.3018981142404
2016/9/23,3033.895996,3064.5884427413266
2016/9/26,2980.429932,3062.5199975271125
2016/9/27,2998.172119,3053.383771465648
2016/9/28,2987.85791,3047.987281027188
2016/9/29,2998.48291,3041.9506188322175
2016/9/30,3004.7028809999997,3038.034487727582
2016/10/10,3048.1430659999996,3035.281355502265
2016/10/11,3065.25,3038.441938578285
2016/10/12,3058.498047,3043.0273126261036
2016/10/13,3061.345947,3045.7121578452266
2016/10/14,3063.8090820000007,3048.3212968490575
2016/10/17,3041.166016,3050.983430203593
2016/10/18,3083.875,3050.413968052165
2016/10/19,3084.7189940000007,3055.8979748755023
2016/10/20,3084.4580079999996,3060.8219071181084
2016/10/21,3090.9409180000002,3065.074022406211
2016/10/24,3128.2470700000003,3069.761751257105
2016/10/25,3131.9389650000003,3078.924625906352
2016/10/26,3116.3120120000003,3087.339523148512
2016/10/27,3112.350098,3092.604587597225
2016/10/28,3104.27002,3096.917419269992
2016/10/31,3100.491943,3099.933252062372
2016/11/1,3122.4360350000006,3102.3788656411725
2016/11/2,3102.7329100000006,3107.6767865873217
2016/11/3,3128.9360350000006,3109.743112027507
2016/11/4,3125.316895,3115.122492861311
2016/11/7,3133.3330079999996,3119.323127923015
2016/11/8,3147.887939,3124.013582197659
2016/11/9,3128.3701170000004,3130.013753996859
2016/11/10,3171.2819820000004,3132.6074489327702
2016/11/11,3196.0439450000003,3140.6106557761714
2016/11/14,3210.371094,3150.7516547269943
2016/11/15,3206.986084,3161.244838991356
2016/11/16,3205.056885,3169.825078607715
2016/11/17,3208.452881,3177.1290628466777
2016/11/18,3192.8559570000007,3184.1564165749623
2016/11/21,3218.147949,3188.4765160443967
2016/11/22,3248.3520510000008,3195.85060423872
2016/11/23,3241.136963,3206.3728596897545
2016/11/24,3241.736084,3214.5411060824927
2016/11/25,3261.9379879999997,3221.77392647908
2016/11/28,3277.0,3230.86230621248
2016/11/29,3282.924072,3240.8228215460467
2016/11/30,3250.033936,3250.2951832034087
2016/12/1,3273.3090820000007,3254.3572758911278
2016/12/2,3243.8430180000005,3261.2030861151416
2016/12/5,3204.708984,3263.575264665107
2016/12/6,3199.646973,3260.78821605534
2016/12/7,3222.241943,3258.092014903923
2016/12/8,3215.3659670000006,3258.9511290350592
2016/12/9,3232.883057,3258.749447677521
2016/12/12,3152.9699710000004,3260.680864642056
2016/12/13,3155.037109,3251.7513165483388
2016/12/14,3140.531006,3244.3349842858825
2016/12/15,3117.6770020000004,3236.126916423901
2016/12/16,3122.9819340000004,3225.915662105287
2016/12/19,3118.0849610000005,3217.6156868979397
2016/12/20,3102.8759770000006,3209.5102766638947
2016/12/21,3137.429932,3200.118315007173
2016/12/22,3139.558105,3196.180380512533
2016/12/23,3110.154053,3192.579792913235
2016/12/26,3122.5690920000006,3185.109557825491
2016/12/27,3114.664063,3180.041935186261
2016/12/28,3102.236084,3174.439372429775
2016/12/29,3096.0969240000004,3167.77450006031
2016/12/30,3103.636963,3161.110536165428
2017/1/3,3135.9208980000003,3156.273514657978
2017/1/4,3158.7939450000003,3156.2073474258123
2017/1/5,3165.4108890000007,3158.874174565696
2017/1/6,3154.3210450000006,3161.727844644921
2017/1/9,3171.236084,3162.566820922789
2017/1/10,3161.6708980000003,3165.5649384607914
2017/1/11,3136.753906,3167.0059305626637
2017/1/12,3119.289063,3165.145374615642
