,origin,predict
1997/11/25,1125.527954,1257.2656238274246
1997/11/26,1143.817993,1252.3493000594558
1997/11/27,1122.515991,1250.9003966580858
1997/11/28,1139.628052,1246.4862322161503
1997/12/1,1133.087036,1245.2351870084462
1997/12/2,1130.166992,1242.9738802107754
1997/12/3,1122.546021,1240.597670304845
1997/12/4,1135.873047,1237.5485457042894
1997/12/5,1136.203979,1236.8657892016765
1997/12/8,1139.3220210000002,1236.097333263353
1997/12/9,1148.171021,1235.7419304356636
1997/12/10,1157.842041,1236.5100456960186
1997/12/11,1159.168945,1238.2435666137796
1997/12/12,1153.839966,1239.6318293367005
1997/12/15,1168.026001,1239.9918123904151
1997/12/16,1174.802002,1242.302195742149
1997/12/17,1146.5219730000001,1244.984296610968
1997/12/18,1154.1660160000001,1243.301877388529
1997/12/19,1160.767944,1243.4271522482838
1997/12/22,1169.006958,1244.5351694887468
1997/12/23,1171.2540279999998,1246.5221169621987
1997/12/24,1169.6639400000001,1248.3338424003566
1997/12/25,1181.277954,1249.550289867672
1997/12/26,1191.918945,1252.1424706792775
1997/12/29,1186.605957,1255.5644673167008
1997/12/30,1181.142944,1257.4829763715286
1997/12/31,1194.102051,1258.3940249663551
1998/1/5,1220.4730220000001,1261.055893349137
1998/1/6,1233.619995,1266.700510908217
1998/1/7,1244.069946,1272.7080262103
1998/1/8,1237.162964,1278.7613059195273
1998/1/9,1239.901001,1282.635950018183
1998/1/12,1226.965942,1286.3613014602822
1998/1/13,1167.6469730000001,1287.8403359353388
1998/1/14,1202.214966,1281.4481573533558
1998/1/15,1215.43103,1282.0205720471802
1998/1/16,1213.962036,1284.1973528554772
1998/1/19,1213.1290279999998,1285.511953430919
1998/1/20,1203.714966,1286.3519895958013
1998/1/21,1200.2030029999999,1285.7085624720328
1998/1/22,1204.430054,1284.8099296965142
1998/1/23,1222.912964,1284.7148805432148
1998/2/9,1248.040039,1287.0598427087834
1998/2/10,1236.512939,1292.0258676070916
1998/2/11,1250.2380369999998,1294.0147077359259
1998/2/12,1246.295044,1297.4999947693336
1998/2/13,1245.911011,1299.678781792336
1998/2/16,1236.235962,1301.494557513012
1998/2/17,1238.5,1301.7968902837815
1998/2/18,1229.831055,1302.619059781855
1998/2/19,1232.5839839999999,1302.2478343551695
1998/2/20,1226.02002,1302.530937747255
1998/2/23,1208.6030269999999,1301.9322908498316
1998/2/24,1208.218018,1299.210046760354
1998/2/25,1194.672974,1297.223326405548
1998/2/26,1206.67395,1293.8471320283766
1998/2/27,1206.530029,1292.8760105517156
1998/3/2,1188.30603,1291.862720713137
1998/3/3,1201.7889400000001,1288.4172172958654
1998/3/4,1213.253052,1287.5601472325422
1998/3/5,1207.5410160000001,1288.1817331131988
1998/3/6,1206.452026,1287.595047797792
1998/3/9,1200.8339839999999,1286.889200899515
1998/3/10,1199.8320310000001,1285.521151736077
1998/3/11,1190.036987,1284.330217263315
1998/3/12,1178.969971,1282.0665257198625
1998/3/13,1184.9610599999999,1278.8719127000693
1998/3/16,1188.482056,1277.268379353965
1998/3/17,1202.834961,1276.3764844316074
1998/3/18,1193.909058,1277.4557522368132
1998/3/19,1188.714966,1276.8278827402871
1998/3/20,1187.500977,1275.6122301882324
1998/3/23,1179.869019,1274.5277386541713
1998/3/24,1194.016968,1272.6570002211931
1998/3/25,1191.5529789999998,1273.1558284737534
1998/3/26,1188.86499,1273.047757851424
1998/3/27,1223.564941,1272.5520335536905
1998/3/30,1249.435059,1276.8356804804623
1998/3/31,1243.015991,1283.304587311644
1998/4/1,1254.964966,1287.1784743481464
1998/4/2,1269.015015,1291.9323325780983
1998/4/3,1286.0839839999999,1297.655041098252
1998/4/6,1306.378052,1304.5542999102622
1998/4/7,1303.140015,1312.8166112755011
1998/4/8,1322.7929689999999,1318.9801570873014
1998/4/9,1297.224976,1326.876391048495
1998/4/10,1311.514038,1329.8855238408223
1998/4/13,1318.748047,1334.8749419596556
1998/4/14,1313.720947,1340.1420126230732
1998/4/15,1324.7070310000001,1343.8968137829213
1998/4/16,1316.2459720000002,1348.711842634829
1998/4/17,1298.107056,1351.5527183636696
1998/4/20,1296.005005,1351.6535590424387
1998/4/21,1305.2230220000001,1351.8799963323777
1998/4/22,1322.182007,1353.5453438032682
1998/4/23,1324.55896,1357.1572873348598
1998/4/24,1315.166992,1360.1470393360723
1998/4/27,1310.378052,1361.1660828470133
1998/4/28,1332.98999,1361.4411235271698
1998/4/29,1332.499023,1364.85835067303
1998/4/30,1343.447998,1367.3117619920047
1998/5/4,1352.926025,1370.7251281208848
1998/5/5,1352.52002,1374.6510631804008
1998/5/6,1348.411987,1377.6659117919828
1998/5/7,1327.873047,1379.5992592650077
1998/5/8,1357.594971,1378.539220838486
1998/5/11,1354.605957,1382.1455242570385
1998/5/12,1349.649048,1384.4722033716141
1998/5/13,1369.2619630000002,1385.6992118559626
1998/5/14,1367.126953,1389.488307931338
1998/5/15,1368.087036,1392.1041090821147
1998/5/18,1368.182983,1394.3830932810563
1998/5/19,1362.291992,1396.311557703195
1998/5/20,1357.43103,1397.1668486704586
1998/5/21,1366.6560060000002,1397.3747000845433
1998/5/22,1375.817017,1398.9781577244325
1998/5/25,1389.365967,1401.4968656540968
1998/5/26,1390.4160160000001,1405.2739244412408
1998/5/27,1399.541992,1408.2912713579274
1998/5/28,1397.89502,1411.9564363588693
1998/5/29,1411.2089839999999,1414.6514640639493
1998/6/1,1415.574951,1418.748987260425
1998/6/2,1413.079956,1422.6279087602447
1998/6/3,1420.0,1425.469541551238
1998/6/4,1406.3029789999998,1428.882491295934
1998/6/5,1408.614014,1429.862583959107
1998/6/8,1403.72998,1431.288094139952
1998/6/9,1369.650024,1431.9446941451813
1998/6/10,1368.2969970000001,1427.9967664301228
1998/6/11,1347.677002,1425.147146633416
1998/6/12,1383.387939,1420.2000482889312
1998/6/15,1365.340942,1421.3190618571653
