,origin,predict
2016/8/31,3085.4909670000006,3083.950610127172
2016/9/1,3063.304932,3088.4670915190745
2016/9/2,3067.3520510000008,3052.0031929235793
2016/9/5,3072.0949710000004,3070.0018913720114
2016/9/6,3090.712891,3078.223889177607
2016/9/7,3091.927979,3096.011972935097
2016/9/8,3095.9541020000006,3096.998576332785
2016/9/9,3078.85498,3095.8919028776436
2016/9/12,3021.9770510000003,3074.720508358745
2016/9/13,3023.51001,2991.2371449819907
2016/9/14,3002.849121,3018.684130511322
2016/9/19,3026.051025,2999.4364309229986
2016/9/20,3023.0,3021.064636744971
2016/9/21,3025.874023,3029.619893310283
2016/9/22,3042.3129879999997,3018.7834570657856
2016/9/23,3033.895996,3045.333021119043
2016/9/26,2980.429932,3037.0444018439903
2016/9/27,2998.172119,2951.1287491823277
2016/9/28,2987.85791,2988.6517777297613
2016/9/29,2998.48291,2998.4443766778095
2016/9/30,3004.7028809999997,2988.2659788566325
2016/10/10,3048.1430659999996,3006.2751247627752
2016/10/11,3065.25,3057.704779409666
2016/10/12,3058.498047,3083.650813514614
2016/10/13,3061.345947,3061.465107123231
2016/10/14,3063.8090820000007,3055.1091161121576
2016/10/17,3041.166016,3067.427880052076
2016/10/18,3083.875,3042.730544262158
2016/10/19,3084.7189940000007,3075.746933225677
2016/10/20,3084.4580079999996,3104.148574129843
2016/10/21,3090.9409180000002,3092.0885740337926
2016/10/24,3128.2470700000003,3088.6331909554256
2016/10/25,3131.9389650000003,3129.8908071032247
2016/10/26,3116.3120120000003,3153.8051892145904
2016/10/27,3112.350098,3127.1911234659037
2016/10/28,3104.27002,3105.2659978675556
2016/10/31,3100.491943,3102.4407933252814
2016/11/1,3122.4360350000006,3102.9419684705153
2016/11/2,3102.7329100000006,3123.437609311716
2016/11/3,3128.9360350000006,3114.2550510464926
2016/11/4,3125.316895,3123.665636432176
2016/11/7,3133.3330079999996,3133.641293008801
2016/11/8,3147.887939,3138.7844704508925
2016/11/9,3128.3701170000004,3151.189539476244
2016/11/10,3171.2819820000004,3139.3257698902316
2016/11/11,3196.0439450000003,3161.196235601139
2016/11/14,3210.371094,3200.2458042737244
2016/11/15,3206.986084,3227.5849841524805
2016/11/16,3205.056885,3228.7666067607606
2016/11/17,3208.452881,3217.01972757116
2016/11/18,3192.8559570000007,3211.6037049291544
2016/11/21,3218.147949,3199.867878846986
2016/11/22,3248.3520510000008,3212.1218382666148
2016/11/23,3241.136963,3244.466258863199
2016/11/24,3241.736084,3259.2895358174155
2016/11/25,3261.9379879999997,3258.4617640594097
2016/11/28,3277.0,3266.125655645872
2016/11/29,3282.924072,3280.9381823175163
2016/11/30,3250.033936,3292.874629870209
2016/12/1,3273.3090820000007,3274.818243285724
2016/12/2,3243.8430180000005,3272.9543562652298
2016/12/5,3204.708984,3255.8223425694623
2016/12/6,3199.646973,3213.3543354515714
2016/12/7,3222.241943,3186.9322606648666
2016/12/8,3215.3659670000006,3200.640082242967
2016/12/9,3232.883057,3214.48356935887
2016/12/12,3152.9699710000004,3230.5564531026994
2016/12/13,3155.037109,3173.7521114073525
2016/12/14,3140.531006,3130.9794624791266
2016/12/15,3117.6770020000004,3119.715891767951
2016/12/16,3122.9819340000004,3109.4054623073034
2016/12/19,3118.0849610000005,3109.7600702197324
2016/12/20,3102.8759770000006,3111.1011301174185
2016/12/21,3137.429932,3099.5229243754884
2016/12/22,3139.558105,3116.0657923038516
2016/12/23,3110.154053,3134.673168723233
2016/12/26,3122.5690920000006,3120.592115503743
2016/12/27,3114.664063,3112.3729945343284
2016/12/28,3102.236084,3107.720696192191
2016/12/29,3096.0969240000004,3098.587195554477
2016/12/30,3103.636963,3089.6449288165913
2017/1/3,3135.9208980000003,3092.1389943731774
2017/1/4,3158.7939450000003,3117.030138074244
2017/1/5,3165.4108890000007,3148.111173350032
2017/1/6,3154.3210450000006,3169.069379166668
2017/1/9,3171.236084,3169.4662311472302
2017/1/10,3161.6708980000003,3173.3009023642107
2017/1/11,3136.753906,3169.4267125028473
2017/1/12,3119.289063,3148.510902166775
2017/1/13,3112.763916,3121.5222420648224
2017/1/16,3103.427979,3104.7057718743936
2017/1/17,3108.774902,3095.611941293493
2017/1/18,3113.011963,3098.6993921655403
2017/1/19,3101.299072,3106.818126693477
2017/1/20,3123.138916,3104.455941363929
2017/1/23,3136.774902,3113.8854533034355
2017/1/24,3142.552979,3129.45958450092
2017/1/25,3149.554932,3142.000167651645
2017/1/26,3159.166016,3151.39833721802
2017/2/3,3140.169922,3160.4425045216894
2017/2/6,3156.9838870000003,3153.3838084202744
2017/2/7,3153.087891,3155.878025389291
2017/2/8,3166.9819340000004,3156.0981790633614
2017/2/9,3183.1789550000003,3163.8562491816465
2017/2/10,3196.6989750000002,3177.773171326384
2017/2/13,3216.8391110000002,3193.2146652346755
2017/2/14,3217.927979,3212.1781636907917
2017/2/15,3212.986084,3223.20659089727
2017/2/16,3229.6179200000006,3225.750925380811
2017/2/17,3202.075928,3234.5381457897784
2017/2/20,3239.960938,3224.1274813000846
2017/2/21,3253.325928,3236.937275752389
2017/2/22,3261.2180180000005,3251.6556238922094
2017/2/23,3251.375,3263.8653708821075
2017/2/24,3253.433105,3265.0522929254585
2017/2/27,3228.659912,3265.8806703331857
2017/2/28,3241.7329100000006,3252.2854996034403
2017/3/1,3246.9340820000007,3250.296848740145
2017/3/2,3230.0280760000005,3251.9878227649115
2017/3/3,3218.3120120000003,3243.7093481227075
2017/3/6,3233.8659670000006,3231.9709480292195
2017/3/7,3242.406006,3233.4316237470675
2017/3/8,3240.6650390000004,3239.1839333974003
2017/3/9,3216.746094,3241.5223469753464
2017/3/10,3212.76001,3229.978209030298
2017/3/13,3237.0239260000008,3220.7105569790856
2017/3/14,3239.327881,3228.5882429175326
2017/3/15,3241.76001,3234.3932440937087
2017/3/16,3268.9350590000004,3238.862030569978
2017/3/17,3237.447021,3256.2629527424633
2017/3/20,3250.808105,3248.4163063522865
2017/3/21,3261.611084,3250.997585468889
2017/3/22,3245.2199710000004,3258.332912080983
2017/3/23,3248.5500490000004,3253.1985165598644
2017/3/24,3269.445068,3252.0088690927632
2017/3/27,3266.955078,3263.094530198002
2017/3/28,3252.9479980000006,3267.4871562216867
2017/3/29,3241.3139650000003,3261.712891768919
2017/3/30,3210.237061,3252.026735759572
2017/3/31,3222.513916,3230.3252463211975
2017/4/5,3270.304932,3224.77916040132
2017/4/6,3281.0048829999996,3249.7001323512113
2017/4/7,3286.6159670000006,3269.3283313775937
2017/4/10,3269.3930660000005,3282.5604150987974
2017/4/11,3288.966064,3278.832035408086
2017/4/12,3273.830078,3287.7640061006923
2017/4/13,3275.9599610000005,3283.342157477905
2017/4/14,3244.4829100000006,3281.7365800639873
2017/4/17,3222.1669920000004,3263.5066748340532
2017/4/18,3196.712891,3241.8462181643663
2017/4/19,3170.6870120000003,3216.552165985515
2017/4/20,3172.100098,3188.175962369687
2017/4/21,3173.150879,3172.7994243941157
2017/4/24,3129.531006,3165.6089994780914
2017/4/25,3134.566895,3138.7249653656727
2017/4/26,3140.8469240000004,3126.2887053796203
2017/4/27,3152.1870120000003,3124.1121516899693
2017/4/28,3154.657959,3130.1748568230005
2017/5/2,3143.7119140000004,3135.7035303133607
2017/5/3,3135.345947,3133.5869359462213
2017/5/4,3127.368896,3128.432099746974
2017/5/5,3103.0380860000005,3121.7876680556374
2017/5/8,3078.613037,3105.7202351593096
2017/5/9,3080.5271000000002,3083.85188922243
2017/5/10,3052.784912,3072.9183976099284
2017/5/11,3061.5,3052.921357902643
2017/5/12,3083.512939,3047.0880426019476
2017/5/15,3090.229004,3057.1192675405964
2017/5/16,3112.9641110000002,3067.358684571299
2017/5/17,3104.441895,3085.937141216439
2017/5/18,3090.138916,3092.1306666894952
2017/5/19,3090.631104,3088.417579654273
2017/5/22,3075.6760250000007,3086.749166081664
2017/5/23,3061.947021,3078.2593196863636
2017/5/24,3064.075928,3066.331654054645
2017/5/25,3107.8310550000006,3060.97271389897
2017/5/26,3110.0590820000007,3082.4333061602847
2017/5/31,3117.177979,3095.6859819720485
2017/6/1,3102.623047,3106.9624227398244
2017/6/2,3105.5400390000004,3105.5044724457266
2017/6/5,3091.656006,3106.1846170839117
2017/6/6,3102.1259770000006,3099.244779740505
2017/6/7,3140.3249510000005,3100.9059255164466
2017/6/8,3150.333984,3123.129636427907
2017/6/9,3158.399902,3140.6002083184612
2017/6/12,3139.876953,3154.2339892180053
2017/6/13,3153.7429200000006,3151.049634390384
2017/6/14,3130.674072,3156.5884525135934
2017/6/15,3132.486084,3146.896997069176
2017/6/16,3123.166016,3142.2275891223826
2017/6/19,3144.3740230000003,3134.4949562924357
2017/6/20,3140.013916,3141.6660004173445
2017/6/21,3156.2119140000004,3142.9742038175946
2017/6/22,3147.452881,3152.5204547410813
2017/6/23,3157.873047,3152.461101068293
2017/6/26,3185.4440920000006,3157.9938626942785
2017/6/27,3191.197021,3177.1012029594494
2017/6/28,3173.200928,3190.3066380928713
