Id,LotArea,Street,Utilities,LotConfig,Neighborhood,HouseStyle,YearBuilt,RoofStyle,GrLivArea,SaleType,SaleCondition,SalePrice
3,11250,Pave,AllPub,Inside,CollgCr,2Story,2001,Gable,1786,WD,Normal,223500
4,9550,Pave,AllPub,Corner,Crawfor,2Story,1915,Gable,1717,WD,Abnorml,140000
5,14260,Pave,AllPub,FR2,NoRidge,2Story,2000,Gable,2198,WD,Normal,250000
7,10084,Pave,AllPub,Inside,Somerst,1Story,2004,Gable,1694,WD,Normal,307000
9,6120,Pave,AllPub,Inside,OldTown,1.5Fin,1931,Gable,1774,WD,Abnorml,129900
11,11200,Pave,AllPub,Inside,Sawyer,1Story,1965,Hip,1040,WD,Normal,129500
12,11924,Pave,AllPub,Inside,NridgHt,2Story,2005,Hip,2324,New,Partial,345000
13,12968,Pave,AllPub,Inside,Sawyer,1Story,1962,Hip,912,WD,Normal,144000
14,10652,Pave,AllPub,Inside,CollgCr,1Story,2006,Gable,1494,New,Partial,279500
15,10920,Pave,AllPub,Corner,NAmes,1Story,1960,Hip,1253,WD,Normal,157000
17,11241,Pave,AllPub,CulDSac,NAmes,1Story,1970,Gable,1004,WD,Normal,149000
18,10791,Pave,AllPub,Inside,Sawyer,1Story,1967,Gable,1296,WD,Normal,90000
21,14215,Pave,AllPub,Corner,NridgHt,2Story,2005,Gable,2376,New,Partial,325300
23,9742,Pave,AllPub,Inside,CollgCr,1Story,2002,Hip,1795,WD,Normal,230000
24,4224,Pave,AllPub,Inside,MeadowV,1Story,1976,Gable,1060,WD,Normal,129900
25,8246,Pave,AllPub,Inside,Sawyer,1Story,1968,Gable,1060,WD,Normal,154000
26,14230,Pave,AllPub,Corner,NridgHt,1Story,2007,Gable,1600,WD,Normal,256300
27,7200,Pave,AllPub,Corner,NAmes,1Story,1951,Gable,900,WD,Normal,134800
30,6324,Pave,AllPub,Inside,BrkSide,1Story,1927,Gable,520,WD,Normal,68500
32,8544,Pave,AllPub,CulDSac,Sawyer,1Story,1966,Gable,1228,WD,Normal,149350
33,11049,Pave,AllPub,Corner,CollgCr,1Story,2007,Gable,1234,WD,Normal,179900
34,10552,Pave,AllPub,Inside,NAmes,1Story,1959,Hip,1700,WD,Normal,165500
35,7313,Pave,AllPub,Inside,NridgHt,1Story,2005,Hip,1561,WD,Normal,277500
36,13418,Pave,AllPub,Inside,NridgHt,2Story,2004,Gable,2452,WD,Normal,309000
38,8532,Pave,AllPub,Inside,NAmes,1Story,1954,Hip,1297,WD,Normal,153000
39,7922,Pave,AllPub,Inside,NAmes,1Story,1953,Gable,1057,WD,Abnorml,109000
40,6040,Pave,AllPub,Inside,Edwards,1Story,1955,Gable,1152,WD,AdjLand,82000
41,8658,Pave,AllPub,Inside,NAmes,1Story,1965,Gable,1324,WD,Abnorml,160000
43,9180,Pave,AllPub,CulDSac,SawyerW,SFoyer,1983,Gable,884,WD,Normal,144000
44,9200,Pave,AllPub,CulDSac,CollgCr,1Story,1975,Hip,938,WD,Normal,130250
45,7945,Pave,AllPub,Inside,NAmes,1Story,1959,Gable,1150,WD,Normal,141000
49,4456,Pave,AllPub,Inside,OldTown,2Story,1920,Gable,1452,New,Partial,113000
51,13869,Pave,AllPub,Corner,Gilbert,2Story,1997,Gable,1470,WD,Normal,177000
54,50271,Pave,AllPub,Inside,Veenker,1Story,1981,Gable,1842,WD,Normal,385000
56,10175,Pave,AllPub,Inside,NAmes,1Story,1964,Gable,1425,WD,Normal,180500
59,13682,Pave,AllPub,CulDSac,StoneBr,2Story,2006,Hip,2945,New,Partial,438780
60,7200,Pave,AllPub,Inside,CollgCr,1Story,1972,Gable,780,WD,Normal,124900
61,13072,Pave,AllPub,Inside,SawyerW,1Story,2004,Gable,1158,New,Partial,158000
62,7200,Pave,AllPub,Inside,IDOTRR,2.5Unf,1920,Gable,1111,WD,Normal,101000
63,6442,Pave,AllPub,Inside,NridgHt,1Story,2006,Gable,1370,WD,Normal,202500
64,10300,Pave,AllPub,Inside,OldTown,2Story,1921,Gable,1710,WD,Normal,140000
66,9591,Pave,AllPub,Inside,NridgHt,2Story,2004,Gable,2473,WD,Normal,317000
67,19900,Pave,AllPub,Inside,NAmes,1Story,1970,Gable,2207,WD,Normal,180000
68,10665,Pave,AllPub,Inside,CollgCr,1Story,2003,Gable,1479,WD,Normal,226000
70,15593,Pave,AllPub,Corner,ClearCr,1.5Fin,1953,Gable,2287,WD,Normal,225000
71,13651,Pave,AllPub,Inside,NAmes,1Story,1973,Gable,2223,WD,Normal,244000
73,10141,Pave,AllPub,Corner,Gilbert,2Story,1998,Gable,1718,WD,Normal,185000
74,10200,Pave,AllPub,Inside,NAmes,1Story,1954,Gable,1086,WD,Normal,144900
75,5790,Pave,AllPub,Corner,OldTown,2Story,1915,Gambrel,1605,WD,Normal,107400
77,8475,Pave,AllPub,Inside,NAmes,1Story,1956,Gable,952,WD,Normal,135750
78,8635,Pave,AllPub,Inside,BrkSide,1.5Fin,1948,Gable,1285,WD,Normal,127000
79,10778,Pave,AllPub,Inside,Sawyer,1Story,1968,Hip,1768,WD,Normal,136500
81,13000,Pave,AllPub,Corner,NAmes,2Story,1968,Gable,2142,WD,Normal,193500
82,4500,Pave,AllPub,FR2,Mitchel,1Story,1998,Hip,1337,WD,Normal,153500
83,10206,Pave,AllPub,Inside,Somerst,1Story,2007,Gable,1563,WD,Normal,245000
84,8892,Pave,AllPub,Inside,NAmes,1Story,1960,Gable,1065,COD,Normal,126500
85,8530,Pave,AllPub,Inside,Gilbert,SLvl,1995,Gable,1474,WD,Normal,168500
86,16059,Pave,AllPub,Corner,NoRidge,2Story,1991,Hip,2417,WD,Normal,260000
88,3951,Pave,AllPub,Corner,Somerst,2Story,2009,Gable,1224,New,Partial,164500
96,9765,Pave,AllPub,Corner,Gilbert,2Story,1993,Gable,1470,WD,Normal,185000
99,10625,Pave,AllPub,Corner,Edwards,1Story,1920,Gable,835,COD,Abnorml,83000
100,9320,Pave,AllPub,Inside,NAmes,1Story,1959,Gable,1225,WD,Normal,128950
101,10603,Pave,AllPub,Inside,NWAmes,1Story,1977,Gable,1610,WD,Normal,205000
102,9206,Pave,AllPub,Inside,SawyerW,2Story,1985,Gable,1732,WD,Normal,178000
104,10402,Pave,AllPub,Corner,CollgCr,1Story,2009,Gable,1226,WD,Normal,198900
105,7758,Pave,AllPub,Corner,IDOTRR,1.5Fin,1931,Gable,1818,WD,Normal,169500
106,9375,Pave,AllPub,Inside,Somerst,2Story,2003,Hip,1992,WD,Normal,250000
108,6000,Pave,AllPub,Inside,OldTown,1Story,1948,Gable,789,WD,Partial,115000
109,8500,Pave,AllPub,Corner,IDOTRR,1.5Fin,1919,Gable,1517,WD,Normal,115000
110,11751,Pave,AllPub,Inside,NWAmes,1Story,1977,Hip,1844,COD,Normal,190000
111,9525,Pave,AllPub,Inside,Edwards,1.5Fin,1954,Gable,1855,WD,Normal,136900
112,7750,Pave,AllPub,Inside,Gilbert,SLvl,2000,Gable,1430,WD,Normal,180000
115,7259,Pave,AllPub,Inside,Crawfor,2Story,1945,Gambrel,2320,WD,Normal,259500
116,3230,Pave,AllPub,Corner,Somerst,2Story,1999,Gable,1458,WD,Normal,176000
118,8536,Pave,AllPub,Corner,Edwards,1Story,2006,Gable,1125,New,Partial,155000
119,12376,Pave,AllPub,Corner,SawyerW,2Story,1990,Hip,3222,WD,Normal,320000
120,8461,Pave,AllPub,Inside,CollgCr,2Story,2005,Gable,1456,New,Partial,163990
123,9464,Pave,AllPub,Corner,NAmes,1Story,1958,Hip,1080,WD,Normal,136000
124,7892,Pave,AllPub,Inside,SawyerW,1Story,1993,Gable,1199,WD,Normal,153900
125,17043,Pave,AllPub,CulDSac,NWAmes,1Story,1979,Gable,1586,WD,Normal,181000
126,6780,Pave,AllPub,Inside,IDOTRR,1.5Fin,1935,Gable,754,WD,Normal,84500
127,4928,Pave,AllPub,Inside,NPkVill,1Story,1976,Gable,958,WD,Normal,128000
129,7590,Pave,AllPub,Inside,NAmes,2Story,1966,Gable,1348,WD,Normal,155000
130,8973,Pave,AllPub,Inside,NAmes,1Story,1958,Gable,1053,WD,Abnorml,150000
131,14200,Pave,AllPub,Corner,NAmes,2Story,1966,Gable,2157,WD,Normal,226000
132,12224,Pave,AllPub,Corner,Gilbert,2Story,2000,Gable,2054,WD,Normal,244000
134,6853,Pave,AllPub,Inside,Timber,1Story,2001,Gable,1296,WD,Normal,220000
135,10335,Pave,AllPub,Inside,Sawyer,1Story,1968,Gable,1721,WD,Normal,180000
136,10400,Pave,AllPub,Inside,NWAmes,1Story,1970,Hip,1682,WD,Normal,174000
137,10355,Pave,AllPub,Corner,NAmes,1Story,1967,Gable,1214,WD,Normal,143000
138,11070,Pave,AllPub,Inside,Mitchel,1Story,1988,Gable,1959,WD,Family,171000
139,9066,Pave,AllPub,Inside,CollgCr,2Story,1999,Gable,1852,WD,Normal,230000
140,15426,Pave,AllPub,Inside,CollgCr,2Story,1997,Gable,1764,WD,Normal,231500
141,10500,Pave,AllPub,FR2,NAmes,1Story,1971,Gable,864,ConLI,Normal,115000
143,8520,Pave,AllPub,Corner,NAmes,1.5Fin,1952,Gable,1385,WD,Normal,166000
